feature,importance,task,feature_set,model,fold
numeric__app_tx_delta,0.00048036363303446744,binary_attack,all,random_forest,3
numeric__root_mac_acked_delta,0.00036960865729737875,binary_attack,all,random_forest,3
numeric__root_server_rx_delta,0.00035928613503808526,binary_attack,all,random_forest,3
numeric__root_server_tx_delta,0.0003504696699292435,binary_attack,all,random_forest,3
numeric__client_energest_total_delta,0.00014873155735156516,binary_attack,all,random_forest,3
numeric__parent_changes_delta,7.152591249830423e-05,binary_attack,all,random_forest,3
numeric__client_mac_valid_nodes,5.7325877491251106e-05,binary_attack,all,random_forest,3
numeric__client_mac_reset_nodes,4.758858395115901e-05,binary_attack,all,random_forest,3
numeric__app_delivery_ratio,1.5072504388963062e-05,binary_attack,all,random_forest,3
numeric__app_timeouts_delta,1.249638019236195e-16,binary_attack,all,random_forest,3
numeric__queue_drops_delta,1.0788609081382715e-16,binary_attack,all,random_forest,3
numeric__uplink_delivery_ratio,6.291321375819616e-17,binary_attack,all,random_forest,3
numeric__route_miss_delta,0.0,binary_attack,all,random_forest,3
numeric__reachable_fraction,0.0,binary_attack,all,random_forest,3
numeric__root_mean_rssi,0.0,binary_attack,all,random_forest,3
numeric__mean_neighbors,0.0,binary_attack,all,random_forest,3
numeric__client_mac_rx_delta,0.1394701736366183,binary_attack,all,random_forest,4
numeric__mean_rank,0.11944743389591013,binary_attack,all,random_forest,4
numeric__client_energest_listen_delta,0.09093713196856196,binary_attack,all,random_forest,4
numeric__client_radio_tx_fraction,0.09011984537830496,binary_attack,all,random_forest,4
numeric__mean_etx_x100,0.0856607596365228,binary_attack,all,random_forest,4
numeric__client_energest_tx_delta,0.08359969078912192,binary_attack,all,random_forest,4
numeric__root_mean_etx_x100,0.06806590629226755,binary_attack,all,random_forest,4
numeric__root_mac_rx_delta,0.06662772122029721,binary_attack,all,random_forest,4
numeric__client_mac_ack_ratio,0.05053390123454199,binary_attack,all,random_forest,4
numeric__p95_etx_x100,0.04186251869064164,binary_attack,all,random_forest,4
numeric__client_mac_tx_attempts_delta,0.03331703808063894,binary_attack,all,random_forest,4
numeric__std_etx_x100,0.027773055160145953,binary_attack,all,random_forest,4
numeric__root_mac_tx_attempts_delta,0.020929537753627228,binary_attack,all,random_forest,4
numeric__client_mac_acked_delta,0.020788177881890336,binary_attack,all,random_forest,4
numeric__root_mac_ack_ratio,0.01643129312508822,binary_attack,all,random_forest,4
numeric__root_energest_tx_delta,0.013392556253038057,binary_attack,all,random_forest,4
numeric__root_radio_tx_fraction,0.010375380931646624,binary_attack,all,random_forest,4
numeric__mean_rtt_ms,0.00496022414193738,binary_attack,all,random_forest,4
numeric__median_rtt_ms,0.0025089082477913814,binary_attack,all,random_forest,4
numeric__std_rtt_ms,0.0024562015353127025,binary_attack,all,random_forest,4
numeric__mean_rssi,0.002411732056228732,binary_attack,all,random_forest,4
numeric__p95_rtt_ms,0.00236980887678752,binary_attack,all,random_forest,4
numeric__max_rtt_ms,0.002196639623756206,binary_attack,all,random_forest,4
numeric__app_rx_delta,0.0007501632241300594,binary_attack,all,random_forest,4
numeric__app_tx_delta,0.00047772884105733783,binary_attack,all,random_forest,4
numeric__root_mac_acked_delta,0.0004292735053256465,binary_attack,all,random_forest,4
numeric__root_server_tx_delta,0.000390542704631633,binary_attack,all,random_forest,4
numeric__transaction_count,0.0003461772788822686,binary_attack,all,random_forest,4
numeric__uplink_success_count,0.00030129613109058007,binary_attack,all,random_forest,4
numeric__transaction_success_count,0.00029466087586383694,binary_attack,all,random_forest,4
numeric__root_server_rx_delta,0.0002840237942012816,binary_attack,all,random_forest,4
numeric__client_energest_total_delta,0.00018350279661220667,binary_attack,all,random_forest,4
numeric__client_mac_valid_nodes,0.00012494153775773802,binary_attack,all,random_forest,4
numeric__parent_changes_delta,0.00012445032253380326,binary_attack,all,random_forest,4
numeric__client_mac_reset_nodes,4.787056888602098e-05,binary_attack,all,random_forest,4
numeric__app_delivery_ratio,8.656412803982456e-06,binary_attack,all,random_forest,4
numeric__app_timeouts_delta,1.0755955458114586e-06,binary_attack,all,random_forest,4
numeric__queue_drops_delta,8.04708004184829e-17,binary_attack,all,random_forest,4
numeric__uplink_delivery_ratio,3.332360807994808e-17,binary_attack,all,random_forest,4
