run_id,scenario,seed,cause_family,attack_subtype,impairment_level,metadata_valid,boot_count,final_metric_count,complete_marker,test_ok,sha256_matches_metadata,random_seed_matches,log_sha256,wall_elapsed_s
DIO_Flood_seed1005_600s,DIO_Flood,1005,attack,DIO_Flood,,True,16,16,True,True,True,True,1cf4ffc2daa6e03d47e87c40e658e3e1da34bb1627334b715b081340c56f0266,7.651
DIO_Flood_seed1006_600s,DIO_Flood,1006,attack,DIO_Flood,,True,16,16,True,True,True,True,2bf29406ee95bdaea7744060027d89fdde5b75a15ebd86d388645db56585ef0c,7.489
DIO_Flood_seed1007_600s,DIO_Flood,1007,attack,DIO_Flood,,True,16,16,True,True,True,True,a45150d5af3ae53d33c20e47e8b4f363f89c4833875e17ee8e7cfd19bed90899,7.844
DIO_Flood_seed1008_600s,DIO_Flood,1008,attack,DIO_Flood,,True,16,16,True,True,True,True,ab7793378aebc230eed030cd8da0c7bdd09e476841254694348df85663d0a644,7.775
DIO_Flood_seed1009_600s,DIO_Flood,1009,attack,DIO_Flood,,True,16,16,True,True,True,True,eb97b0178bd5e91b7b54936e1aa2ff4917db5e223e689705a614ee4ed46ecf82,7.633
DIO_Flood_seed1010_600s,DIO_Flood,1010,attack,DIO_Flood,,True,16,16,True,True,True,True,2ce2149d4a8214151267bea3cfb6ce45d37fee3e4bcb36f7cc8e142abdad0d63,7.763
DIS_Flood_seed1001_600s,DIS_Flood,1001,attack,DIS_Flood,,True,16,16,True,True,True,True,0ece8179bf677d304e706d309cc92359ae42b06160504256ac57559722c49093,7.774
DIS_Flood_seed1002_600s,DIS_Flood,1002,attack,DIS_Flood,,True,16,16,True,True,True,True,9915d391126c17c10b82f387548e8c41c6b7ea4a973971c3d95ba40bae64de6a,7.889
DIS_Flood_seed1003_600s,DIS_Flood,1003,attack,DIS_Flood,,True,16,16,True,True,True,True,0b6f6852662a92900f1a35b05d4f29748ba6266e85ee05ce4a33f305cfe2d128,7.856
DIS_Flood_seed1004_600s,DIS_Flood,1004,attack,DIS_Flood,,True,16,16,True,True,True,True,c305a6518bdbee627fc79b9375c593449166ce5a8c27d9aed593dfc8ecdb160d,7.871
DIS_Flood_seed1005_600s,DIS_Flood,1005,attack,DIS_Flood,,True,16,16,True,True,True,True,b120eca30331d74e607afcea950aa0b2f720c2c9e9e05a6f332d7185ab85ebdc,7.603
DIS_Flood_seed1006_600s,DIS_Flood,1006,attack,DIS_Flood,,True,16,16,True,True,True,True,a428727b33520e39bbbd66f194bb9aef3a84b5f0949bd976561c39d866a0c84e,7.773
DIS_Flood_seed1007_600s,DIS_Flood,1007,attack,DIS_Flood,,True,16,16,True,True,True,True,088c9d455afd9e3d84dc7ccdaec22eefa3e9a4d7e07289cc04ce7473f45b7d08,7.881
DIS_Flood_seed1008_600s,DIS_Flood,1008,attack,DIS_Flood,,True,16,16,True,True,True,True,2fba7b4ebb97531330014a29469ac98580610a2e753f779bbab6e98a7c89832f,7.477
DIS_Flood_seed1009_600s,DIS_Flood,1009,attack,DIS_Flood,,True,16,16,True,True,True,True,6567ccfc91a28f5b7e1fa624617a129e94c7230f5b610532d2e7b096be19d1e3,7.632
DIS_Flood_seed1010_600s,DIS_Flood,1010,attack,DIS_Flood,,True,16,16,True,True,True,True,93a827676ecd11b48be2b5c978858a22b9e1d6f804ca4c89901503a8036319b8,7.877
RX60_seed1001_600s,RX60,1001,impairment,,RX60,True,16,16,True,True,True,True,9bc2aa5faf965be3e9cc676f075331eb2456b6dacac1dca01d3261e08c187c46,8.92
RX60_seed1002_600s,RX60,1002,impairment,,RX60,True,16,16,True,True,True,True,e70312ef6a24a9af8633f8400abc1d0bc77f69c98e7c57cd9f15dac392ffece6,8.875
RX60_seed1003_600s,RX60,1003,impairment,,RX60,True,16,16,True,True,True,True,660e985dbd60f10b5baff8a916b086ab3d7962751fd1a2092e7c6e1cd1bb0c19,8.505
RX60_seed1004_600s,RX60,1004,impairment,,RX60,True,16,16,True,True,True,True,a03b81f3eebf79d1adcd634f2aa02ac8157c76e69529aec436ca5805812005ec,8.423
RX60_seed1005_600s,RX60,1005,impairment,,RX60,True,16,16,True,True,True,True,3946d8e5592827d424666a9f61f5b7a21f7771885a419a16546f68c8aa7474ad,8.675
RX60_seed1006_600s,RX60,1006,impairment,,RX60,True,16,16,True,True,True,True,a7a04ec38c8715fc6aac5a16867124c5541acf33ec64a4a13c184edf5fa66cad,9.31
RX60_seed1007_600s,RX60,1007,impairment,,RX60,True,16,16,True,True,True,True,13ab8bc9a5883dd243bcf74dfdcf577f56e6eea8184722567d5939b3a1308b35,8.638
RX60_seed1008_600s,RX60,1008,impairment,,RX60,True,16,16,True,True,True,True,12809c80e38fc66a7f105a1b67113f41429b15c95ccf6e2f560870051f2c50e5,8.535
RX60_seed1009_600s,RX60,1009,impairment,,RX60,True,16,16,True,True,True,True,97fe55334104eb024ef8126b33714b0df74736cd291624a47def5573f3767819,8.619
RX60_seed1010_600s,RX60,1010,impairment,,RX60,True,16,16,True,True,True,True,28a253daa54e0d749ae77dca2e3bf7842bd043115715094628a79aaa5dff8446,8.645
RX75_seed1001_600s,RX75,1001,impairment,,RX75,True,16,16,True,True,True,True,3485c90a33d7911b29729c03dd6ef5513f975f4dad5b7ac4611d6069c765752a,7.89
RX75_seed1002_600s,RX75,1002,impairment,,RX75,True,16,16,True,True,True,True,67b43c2e39737f91f582b4677ad3bdbcbfce5f2adbd3e6c337b85d95d869b2f1,8.049
RX75_seed1003_600s,RX75,1003,impairment,,RX75,True,16,16,True,True,True,True,dad43b7ae4219c179b58bd232220770da352376707ed70b9bb9bbbac859b5b36,8.12
RX75_seed1004_600s,RX75,1004,impairment,,RX75,True,16,16,True,True,True,True,efa96021ede5e072cadfd2eb8ce8c04deacbfb06eb039d9024400bb3c28b8284,8.086
RX75_seed1005_600s,RX75,1005,impairment,,RX75,True,16,16,True,True,True,True,4605adc78e54db4e0c4cd773f11878b3007a4c5a9e85f9688d8861a93b8addfe,7.903
RX75_seed1006_600s,RX75,1006,impairment,,RX75,True,16,16,True,True,True,True,525151de1c3a94347f7007675f55c086643016ad5387a6bd12edec9b8148f767,8.202
RX75_seed1007_600s,RX75,1007,impairment,,RX75,True,16,16,True,True,True,True,7fd58812eb7eeb46ec360c6594c5cae6f6e77f81e50667974a0dd40a58980708,8.002
RX75_seed1008_600s,RX75,1008,impairment,,RX75,True,16,16,True,True,True,True,a4d03faf24e833fdb332ea02280890547ff50d501289faea4bb844ba09062423,8.102
RX75_seed1009_600s,RX75,1009,impairment,,RX75,True,16,16,True,True,True,True,87b1560cdf74710bb9b36ef2f0f58e226d666d0836e8b6625ce93ad8ee786a82,8.027
RX75_seed1010_600s,RX75,1010,impairment,,RX75,True,16,16,True,True,True,True,ed85eaa22ca2ec6c515a035fc22b05c6d0554f8e84e4233cc41e2f9ede392894,8.199
RX90_seed1001_600s,RX90,1001,impairment,,RX90,True,16,16,True,True,True,True,00a89b22d4d74b41d7bc4501630e2a7749d47a911ac0ce505b95ed5ce7ea458f,7.668
RX90_seed1002_600s,RX90,1002,impairment,,RX90,True,16,16,True,True,True,True,d0c9f174628406834427cf6e3ca420757461a836403b584750140712cd49beea,7.632
RX90_seed1003_600s,RX90,1003,impairment,,RX90,True,16,16,True,True,True,True,a3a2dbba37345e456503fe8927ebb75a928939a2cc2afac73d9e4e003ebe1212,7.482
RX90_seed1004_600s,RX90,1004,impairment,,RX90,True,16,16,True,True,True,True,a398dd696daff5dec5c3ae192fe494fe08ff67363e9c1b73a66c005509aa827d,7.579
RX90_seed1005_600s,RX90,1005,impairment,,RX90,True,16,16,True,True,True,True,0f42849a71cc1744a0a825d596aeda1447903cfb5355999ecb9cf66608469b68,7.805
RX90_seed1006_600s,RX90,1006,impairment,,RX90,True,16,16,True,True,True,True,9e008c6e28e771d6117a783b7e6118cc6e89ecb45257ba6daf575909eee5320b,7.517
RX90_seed1007_600s,RX90,1007,impairment,,RX90,True,16,16,True,True,True,True,6449ca7906c5d9e57bae8da891d0d2fe752551beb13a9a920ecd3de393853d34,7.532
RX90_seed1008_600s,RX90,1008,impairment,,RX90,True,16,16,True,True,True,True,38e17f3e001193e9802e4dde2bdeeaef1b6b2229f02a0090e5d2f0ee8122515f,7.68
RX90_seed1009_600s,RX90,1009,impairment,,RX90,True,16,16,True,True,True,True,50fa7fea0b0b473955920dfc76d0717270f9806adf477b417077b93f99fca6b2,7.68
RX90_seed1010_600s,RX90,1010,impairment,,RX90,True,16,16,True,True,True,True,52a76ee432acf7340eaea2131f719ed2ca10c90de737a866e79b21556897f2e8,7.612
UDP_Flood_seed1001_600s,UDP_Flood,1001,attack,UDP_Flood,,True,16,16,True,True,True,True,af4bc41dc33916a9f59ab22f422720dfe1bcabea29a50a3826798f17a9337e3f,9.414
UDP_Flood_seed1002_600s,UDP_Flood,1002,attack,UDP_Flood,,True,16,16,True,True,True,True,3191189058e6b7c1f038c983e237101b8788470aa67acf39b7d6450e2270018d,9.869
UDP_Flood_seed1003_600s,UDP_Flood,1003,attack,UDP_Flood,,True,16,16,True,True,True,True,2f4ffe0835acea6c9ecb07169477fa63ffc1865bdb1f299abafeff6c508a0c7d,9.867
UDP_Flood_seed1004_600s,UDP_Flood,1004,attack,UDP_Flood,,True,16,16,True,True,True,True,9496909c85b778f6098c995730a666434141f89049625608277fcef5ac5ce85a,10.314
UDP_Flood_seed1005_600s,UDP_Flood,1005,attack,UDP_Flood,,True,16,16,True,True,True,True,c9747453b9539b034ff2d8788b5d7d3629f7e81d00d6e6fa5076b3f75e3d6e41,9.681
UDP_Flood_seed1006_600s,UDP_Flood,1006,attack,UDP_Flood,,True,16,16,True,True,True,True,f9f43e0a06f02372378b265fb005b07f208469d20cc1cc2e30465cd64b6643c9,9.508
UDP_Flood_seed1007_600s,UDP_Flood,1007,attack,UDP_Flood,,True,16,16,True,True,True,True,445bb7029c1faa5f751989487d44086ae3acef03338fdc9d8d7604665931a240,9.652
UDP_Flood_seed1008_600s,UDP_Flood,1008,attack,UDP_Flood,,True,16,16,True,True,True,True,bb8a721ca51fc2b7c5db62c3637fc811a9f27e12e7a69e55d61d2cb2717f626d,9.376
UDP_Flood_seed1009_600s,UDP_Flood,1009,attack,UDP_Flood,,True,16,16,True,True,True,True,7dcd12fb42c3636689b59495a3ce2d8f8f7a8ee4b587291cde7cf53b9a39c9d1,9.486
UDP_Flood_seed1010_600s,UDP_Flood,1010,attack,UDP_Flood,,True,16,16,True,True,True,True,29b3c691c1dfc906484bce1138f066552e56cb7ef67e54a00a8d214addd397ba,9.836
