timestamp_utc,status,run_id,scenario,class_label,impairment_level,tx_success,rx_success,seed,duration_s,warmup_s,analysis_s,source_csc,output_log,boot_count,final_metric_count,complete_marker,fallback_marker,test_ok,output_log_sha256
2026-07-18T15:59:41+00:00,completed,RX90_seed1005_600s,RX90,impairment,light,1.0,0.9,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1005.log,16,16,True,False,True,0f42849a71cc1744a0a825d596aeda1447903cfb5355999ecb9cf66608469b68
2026-07-18T15:59:49+00:00,completed,RX90_seed1006_600s,RX90,impairment,light,1.0,0.9,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1006.log,16,16,True,False,True,9e008c6e28e771d6117a783b7e6118cc6e89ecb45257ba6daf575909eee5320b
2026-07-18T15:59:57+00:00,completed,RX90_seed1007_600s,RX90,impairment,light,1.0,0.9,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1007.log,16,16,True,False,True,6449ca7906c5d9e57bae8da891d0d2fe752551beb13a9a920ecd3de393853d34
2026-07-18T16:00:04+00:00,completed,RX90_seed1008_600s,RX90,impairment,light,1.0,0.9,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1008.log,16,16,True,False,True,38e17f3e001193e9802e4dde2bdeeaef1b6b2229f02a0090e5d2f0ee8122515f
2026-07-18T16:00:12+00:00,completed,RX90_seed1009_600s,RX90,impairment,light,1.0,0.9,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1009.log,16,16,True,False,True,50fa7fea0b0b473955920dfc76d0717270f9806adf477b417077b93f99fca6b2
2026-07-18T16:00:20+00:00,completed,RX90_seed1010_600s,RX90,impairment,light,1.0,0.9,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX90_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX90/AirGuard_RX90_N16_600s_seed1010.log,16,16,True,False,True,52a76ee432acf7340eaea2131f719ed2ca10c90de737a866e79b21556897f2e8
2026-07-18T16:00:27+00:00,completed,RX75_seed1001_600s,RX75,impairment,moderate,1.0,0.75,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1001.log,16,16,True,False,True,3485c90a33d7911b29729c03dd6ef5513f975f4dad5b7ac4611d6069c765752a
2026-07-18T16:00:36+00:00,completed,RX75_seed1002_600s,RX75,impairment,moderate,1.0,0.75,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1002.log,16,16,True,False,True,67b43c2e39737f91f582b4677ad3bdbcbfce5f2adbd3e6c337b85d95d869b2f1
2026-07-18T16:00:44+00:00,completed,RX75_seed1003_600s,RX75,impairment,moderate,1.0,0.75,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1003.log,16,16,True,False,True,dad43b7ae4219c179b58bd232220770da352376707ed70b9bb9bbbac859b5b36
2026-07-18T16:00:52+00:00,completed,RX75_seed1004_600s,RX75,impairment,moderate,1.0,0.75,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1004.log,16,16,True,False,True,efa96021ede5e072cadfd2eb8ce8c04deacbfb06eb039d9024400bb3c28b8284
