task,feature_set,model,configuration,seed,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1004,102,0.37254901960784315,0.37254901960784315,0.37379470551637883,0.37379470551637883,0.058882985741415574
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1005,102,0.5098039215686274,0.5098039215686274,0.5070252586408345,0.5070252586408345,0.2650500288241922
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1006,102,0.46078431372549017,0.46078431372549017,0.46125087890792477,0.4612508789079247,0.1926260650503149
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1007,102,0.35294117647058826,0.35294117647058826,0.3527350427350428,0.35273504273504275,0.029569928086515172
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1008,102,0.4803921568627451,0.48039215686274517,0.4775282688326166,0.47752826883261673,0.2208111965303084
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1009,102,0.39215686274509803,0.39215686274509803,0.3857709623260937,0.38577096232609376,0.08873565094161139
attack_subtype,application_qos,extra_trees,attack_subtype__application_qos__extra_trees,1010,102,0.4215686274509804,0.4215686274509804,0.42061122956645347,0.4206112295664534,0.13241022442571243
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1001,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1002,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1003,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1004,102,0.9803921568627451,0.9803921568627452,0.9803921568627452,0.9803921568627451,0.9705882352941176
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1005,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1006,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1007,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1008,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1009,102,0.9901960784313726,0.9901960784313726,0.9901939577474944,0.9901939577474944,0.9854362034676326
attack_subtype,mac,extra_trees,attack_subtype__mac__extra_trees,1010,102,1.0,1.0,1.0,1.0,1.0
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1001,102,0.6862745098039216,0.6862745098039215,0.686002886002886,0.686002886002886,0.5297173415074916
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1002,102,0.7352941176470589,0.7352941176470589,0.7347778981581797,0.7347778981581798,0.6037250656551045
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1003,102,0.7058823529411765,0.7058823529411765,0.7056277056277057,0.7056277056277057,0.5591460827023522
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1004,102,0.696078431372549,0.6960784313725491,0.6960126901723268,0.6960126901723268,0.5441961123627225
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1005,102,0.7254901960784313,0.7254901960784315,0.7245370370370371,0.724537037037037,0.5895969517130267
