task,feature_set,model,configuration,metric,point_estimate,ci_low_95,ci_high_95,bootstrap_iterations,cluster_unit,seed_count
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,mcc,0.8800402720538045,0.8643515869855415,0.8944500328354898,5000,seed,10
binary_attack,routing,extra_trees,binary_attack__routing__extra_trees,accuracy,0.8411764705882353,0.83109243697479,0.8516806722689075,5000,seed,10
binary_attack,routing,extra_trees,binary_attack__routing__extra_trees,balanced_accuracy,0.8482843137254903,0.8372549019607842,0.8605392156862746,5000,seed,10
binary_attack,routing,extra_trees,binary_attack__routing__extra_trees,macro_f1,0.8403619909502262,0.8301252953525118,0.8508745887483372,5000,seed,10
binary_attack,routing,extra_trees,binary_attack__routing__extra_trees,weighted_f1,0.8419909502262444,0.8319143358921666,0.8523956956292554,5000,seed,10
binary_attack,routing,extra_trees,binary_attack__routing__extra_trees,mcc,0.6894241449734942,0.6679663767608592,0.7139407361597359,5000,seed,10
cause_family,all,extra_trees,cause_family__all__extra_trees,accuracy,0.9966386554621849,0.9949579831932773,0.9983193277310924,5000,seed,10
cause_family,all,extra_trees,cause_family__all__extra_trees,balanced_accuracy,0.9921568627450981,0.9882352941176471,0.996078431372549,5000,seed,10
cause_family,all,extra_trees,cause_family__all__extra_trees,macro_f1,0.9947277516153697,0.9920583709441647,0.9973748185171711,5000,seed,10
cause_family,all,extra_trees,cause_family__all__extra_trees,weighted_f1,0.9966227554782643,0.9949219260300081,0.9983153837401668,5000,seed,10
cause_family,all,extra_trees,cause_family__all__extra_trees,mcc,0.9945173647672805,0.9917816598447605,0.997256798619025,5000,seed,10
cause_family,all,logistic,cause_family__all__logistic,accuracy,0.9974789915966387,0.9957983193277311,0.9991596638655462,5000,seed,10
cause_family,all,logistic,cause_family__all__logistic,balanced_accuracy,0.9967320261437909,0.9941176470588236,0.9990196078431373,5000,seed,10
cause_family,all,logistic,cause_family__all__logistic,macro_f1,0.9960860944114609,0.9934768240191013,0.9986928104575163,5000,seed,10
cause_family,all,logistic,cause_family__all__logistic,weighted_f1,0.9974814510887193,0.9958024184811991,0.9991596638655462,5000,seed,10
cause_family,all,logistic,cause_family__all__logistic,mcc,0.9958851913456938,0.9931411660201988,0.9986274509803922,5000,seed,10
cause_family,all,random_forest,cause_family__all__random_forest,accuracy,0.9978991596638656,0.9962079831932773,0.9995798319327731,5000,seed,10
cause_family,all,random_forest,cause_family__all__random_forest,balanced_accuracy,0.9950980392156863,0.9911519607843138,0.9990196078431373,5000,seed,10
cause_family,all,random_forest,cause_family__all__random_forest,macro_f1,0.9967158682725105,0.9940482804370493,0.9993457633486527,5000,seed,10
cause_family,all,random_forest,cause_family__all__random_forest,weighted_f1,0.9978939470382012,0.9961908264483708,0.9995796254625744,5000,seed,10
cause_family,all,random_forest,cause_family__all__random_forest,mcc,0.9965729381344421,0.9938203829137032,0.9993138983837767,5000,seed,10
cause_family,application_qos,extra_trees,cause_family__application_qos__extra_trees,accuracy,0.6285714285714286,0.6130252100840337,0.6457983193277311,5000,seed,10
cause_family,application_qos,extra_trees,cause_family__application_qos__extra_trees,balanced_accuracy,0.5058823529411764,0.49183006535947715,0.5212418300653595,5000,seed,10
cause_family,application_qos,extra_trees,cause_family__application_qos__extra_trees,macro_f1,0.4948866436822906,0.4789635946627451,0.5121635601760446,5000,seed,10
cause_family,application_qos,extra_trees,cause_family__application_qos__extra_trees,weighted_f1,0.6021284761957858,0.5871436310562038,0.6189855826370457,5000,seed,10
cause_family,application_qos,extra_trees,cause_family__application_qos__extra_trees,mcc,0.37128469065708225,0.3449454842360681,0.4019913023274825,5000,seed,10
cause_family,mac,extra_trees,cause_family__mac__extra_trees,accuracy,0.9663865546218487,0.9567226890756303,0.9752100840336134,5000,seed,10
cause_family,mac,extra_trees,cause_family__mac__extra_trees,balanced_accuracy,0.9444444444444445,0.9274509803921568,0.9604575163398693,5000,seed,10
cause_family,mac,extra_trees,cause_family__mac__extra_trees,macro_f1,0.9471908748938236,0.9316602216624198,0.9614757625012256,5000,seed,10
cause_family,mac,extra_trees,cause_family__mac__extra_trees,weighted_f1,0.9662176920276665,0.9563466836194109,0.975271277796059,5000,seed,10
cause_family,mac,extra_trees,cause_family__mac__extra_trees,mcc,0.9450193579289476,0.9291604656861503,0.9595580284962518,5000,seed,10
cause_family,radio,extra_trees,cause_family__radio__extra_trees,accuracy,0.8819327731092437,0.8689075630252101,0.8945378151260505,5000,seed,10
cause_family,radio,extra_trees,cause_family__radio__extra_trees,balanced_accuracy,0.8637254901960784,0.8477124183006536,0.8800653594771242,5000,seed,10
