task,feature_set,model,fold,run_id,seed,scenario,window_start_s,window_end_s,true_target,top_features,top_mean_abs_shap
binary_attack,mac,extra_trees,1,Clean_seed1001_600s,1001,Clean,190,200,benign,client_mac_rx_delta | root_mac_rx_delta | client_mac_acked_delta | client_mac_ack_ratio | root_mac_ack_ratio,0.35307819 | 0.10758687 | 0.047357155 | 0.022173395 | 0.016102057
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,290,300,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_tx_attempts_delta,0.24123323 | 0.07045106 | 0.064702232 | 0.045871821 | 0.013861022
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,300,310,dis_flood,root_mac_rx_delta | client_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | root_mac_tx_attempts_delta,0.24007823 | 0.070346113 | 0.06664254 | 0.063927933 | 0.010157976
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,310,320,dis_flood,root_mac_rx_delta | client_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | root_mac_tx_attempts_delta,0.25073776 | 0.08277306 | 0.066700441 | 0.06372091 | 0.0081485863
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,320,330,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_tx_attempts_delta,0.25590384 | 0.067070436 | 0.064154215 | 0.057625118 | 0.0065835771
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,330,340,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_ack_ratio,0.21943646 | 0.075970777 | 0.06602361 | 0.041089033 | 0.038431438
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,340,350,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_acked_delta,0.15292823 | 0.065128056 | 0.063897437 | 0.047532591 | 0.031480942
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,350,360,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_acked_delta,0.25995509 | 0.069672883 | 0.064396892 | 0.020398068 | 0.016332746
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,360,370,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_ack_ratio,0.23715686 | 0.074120534 | 0.068213249 | 0.067829702 | 0.0080484996
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,370,380,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_acked_delta,0.25337793 | 0.068049156 | 0.064137276 | 0.020251559 | 0.0095995451
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,380,390,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_tx_attempts_delta,0.23699315 | 0.071913009 | 0.065431328 | 0.037065336 | 0.020870762
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,390,400,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | root_mac_acked_delta | client_mac_rx_delta,0.17607495 | 0.068343371 | 0.064697927 | 0.041749884 | 0.018951112
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,400,410,dis_flood,root_mac_rx_delta | client_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | root_mac_tx_attempts_delta,0.2461867 | 0.076704189 | 0.067806415 | 0.064350096 | 0.010556361
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,410,420,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | root_mac_acked_delta | client_mac_rx_delta,0.16864651 | 0.067941335 | 0.06380632 | 0.050766774 | 0.02564662
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,420,430,dis_flood,root_mac_rx_delta | client_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_ack_ratio,0.21417609 | 0.10309888 | 0.070414412 | 0.065032028 | 0.011704217
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,430,440,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_tx_attempts_delta,0.23157931 | 0.069400732 | 0.064503353 | 0.046216355 | 0.014146525
attack_subtype,mac,extra_trees,5,DIS_Flood_seed1005_600s,1005,DIS_Flood,440,450,dis_flood,root_mac_rx_delta | client_mac_acked_delta | client_mac_tx_attempts_delta | client_mac_rx_delta | root_mac_tx_attempts_delta,0.24701847 | 0.067179671 | 0.064044824 | 0.019699524 | 0.010804563
