task,feature_set,model,feature,mean_abs_shap,sd_abs_shap,min_abs_shap,max_abs_shap,folds,explained_samples
cause_family,all,random_forest,root_mac_rx_delta,0.01902038408023739,0.0010667141122162797,0.01832983316186822,0.020825207397290595,5,1000
cause_family,all,random_forest,std_etx_x100,0.016414751572169775,0.002279093115552111,0.013173460109945535,0.018827566440231425,5,1000
cause_family,all,random_forest,client_mac_tx_attempts_delta,0.009653137521268878,0.0015477901773299127,0.007702666723886428,0.011812362873838168,5,1000
cause_family,all,random_forest,mean_rssi,0.008083458622470329,0.009061794744815433,0.0013645008661857187,0.021738348494642006,5,1000
cause_family,all,random_forest,client_mac_acked_delta,0.008068459840050479,0.0008564780013391398,0.007080214108658442,0.008954044889490502,5,1000
cause_family,all,random_forest,root_energest_tx_delta,0.007248655848211804,0.000699194822293458,0.0060528451376349645,0.007836339169897844,5,1000
cause_family,all,random_forest,root_mac_ack_ratio,0.006106097052880632,0.0005855550586419553,0.005364593057856081,0.006816262746989901,5,1000
cause_family,all,random_forest,root_radio_tx_fraction,0.005607824396764563,0.00020995007449487878,0.005353551216146106,0.005853222362483932,5,1000
cause_family,all,random_forest,root_mac_tx_attempts_delta,0.005176913998477542,0.0003006443359898067,0.004889155169240932,0.005633033766058163,5,1000
cause_family,all,random_forest,mean_rtt_ms,0.002053447079393935,0.00023834866521441875,0.0018145756757017247,0.002345790615295898,5,1000
cause_family,all,random_forest,median_rtt_ms,0.0011185819792963868,0.0002563259382543204,0.0008332082551003024,0.0015103974121905917,5,1000
cause_family,all,random_forest,p95_rtt_ms,0.0009613533554454379,0.00029031762284409895,0.000738121800778759,0.001350829690620537,5,1000
cause_family,all,random_forest,app_rx_delta,0.0009375941553882054,0.00011063187217518176,0.0008047545421268307,0.0011045535728185527,5,1000
cause_family,all,random_forest,max_rtt_ms,0.0008951666461571878,0.00020131082923218783,0.0007437310851876068,0.0012439559578329273,5,1000
cause_family,all,random_forest,std_rtt_ms,0.0007480364020650776,0.0001888808000309468,0.0005019149046974552,0.0009672390184062276,5,1000
cause_family,all,random_forest,app_tx_delta,0.0006761910556058034,0.00021354618199309188,0.00039377615635532043,0.0008977096305425018,5,1000
