task,feature_set,model,fold,feature,mean_abs_shap,sample_count,test_seeds
cause_family,all,random_forest,1,root_energest_tx_delta,0.007354981777728081,200,"1001,1006"
cause_family,all,random_forest,1,root_radio_tx_fraction,0.005746324491982974,200,"1001,1006"
cause_family,all,random_forest,2,reachable_fraction,0.0,200,"1002,1007"
cause_family,all,random_forest,2,app_tx_delta,0.00039377615635532043,200,"1002,1007"
cause_family,all,random_forest,2,app_rx_delta,0.0008047545421268307,200,"1002,1007"
cause_family,all,random_forest,2,app_timeouts_delta,2.8784244190510056e-19,200,"1002,1007"
cause_family,all,random_forest,2,route_miss_delta,0.0,200,"1002,1007"
cause_family,all,random_forest,2,root_server_rx_delta,0.0004939189783449607,200,"1002,1007"
cause_family,all,random_forest,2,root_server_tx_delta,0.0003662131511174728,200,"1002,1007"
cause_family,all,random_forest,2,transaction_count,0.00020489828812059326,200,"1002,1007"
cause_family,all,random_forest,2,transaction_success_count,0.0002246746653069621,200,"1002,1007"
cause_family,all,random_forest,2,uplink_success_count,0.0002615223945437251,200,"1002,1007"
cause_family,all,random_forest,2,app_delivery_ratio,1.0061323085965734e-06,200,"1002,1007"
cause_family,all,random_forest,2,uplink_delivery_ratio,3.6576029686223428e-19,200,"1002,1007"
cause_family,all,random_forest,2,mean_rtt_ms,0.002235975932652652,200,"1002,1007"
cause_family,all,random_forest,2,median_rtt_ms,0.0010830163467646229,200,"1002,1007"
cause_family,all,random_forest,2,p95_rtt_ms,0.0007717034838516409,200,"1002,1007"
cause_family,all,random_forest,2,max_rtt_ms,0.0007437310851876068,200,"1002,1007"
cause_family,all,random_forest,2,std_rtt_ms,0.0007237435206972332,200,"1002,1007"
cause_family,all,random_forest,2,mean_etx_x100,0.061166678248289856,200,"1002,1007"
cause_family,all,random_forest,2,std_etx_x100,0.017696277479273725,200,"1002,1007"
cause_family,all,random_forest,2,p95_etx_x100,0.02869670807177203,200,"1002,1007"
cause_family,all,random_forest,2,mean_rank,0.09549953072948357,200,"1002,1007"
cause_family,all,random_forest,2,mean_neighbors,0.0,200,"1002,1007"
cause_family,all,random_forest,2,mean_rssi,0.0014745713538869413,200,"1002,1007"
cause_family,all,random_forest,2,parent_changes_delta,1.7476530165779245e-05,200,"1002,1007"
cause_family,all,random_forest,2,root_mean_etx_x100,0.03283451775474903,200,"1002,1007"
cause_family,all,random_forest,2,root_mean_rssi,0.0,200,"1002,1007"
cause_family,all,random_forest,2,queue_drops_delta,1.803857246340519e-19,200,"1002,1007"
cause_family,all,random_forest,2,client_mac_tx_attempts_delta,0.008785887367854345,200,"1002,1007"
cause_family,all,random_forest,2,client_mac_acked_delta,0.007399261805050249,200,"1002,1007"
cause_family,all,random_forest,2,client_mac_rx_delta,0.05274004405576688,200,"1002,1007"
cause_family,all,random_forest,2,client_mac_ack_ratio,0.019649405619462768,200,"1002,1007"
cause_family,all,random_forest,2,client_mac_valid_nodes,3.15695255142432e-05,200,"1002,1007"
cause_family,all,random_forest,2,client_mac_reset_nodes,1.1174359702178384e-05,200,"1002,1007"
cause_family,all,random_forest,2,root_mac_tx_attempts_delta,0.005299660744646685,200,"1002,1007"
cause_family,all,random_forest,2,root_mac_acked_delta,0.0003510373875662867,200,"1002,1007"
cause_family,all,random_forest,2,root_mac_rx_delta,0.018454268006926386,200,"1002,1007"
cause_family,all,random_forest,2,root_mac_ack_ratio,0.005704047175548923,200,"1002,1007"
cause_family,all,random_forest,2,client_energest_tx_delta,0.04729029476932636,200,"1002,1007"
cause_family,all,random_forest,2,client_energest_listen_delta,0.052327675206208304,200,"1002,1007"
cause_family,all,random_forest,2,client_energest_total_delta,6.180407357363471e-05,200,"1002,1007"
cause_family,all,random_forest,2,client_radio_tx_fraction,0.04699911030099496,200,"1002,1007"
cause_family,all,random_forest,2,root_energest_tx_delta,0.0060528451376349645,200,"1002,1007"
cause_family,all,random_forest,2,root_radio_tx_fraction,0.005433793043439229,200,"1002,1007"
cause_family,all,random_forest,3,reachable_fraction,0.0,200,"1003,1008"
cause_family,all,random_forest,3,app_tx_delta,0.0008234189793470537,200,"1003,1008"
cause_family,all,random_forest,3,app_rx_delta,0.0009407113792498383,200,"1003,1008"
cause_family,all,random_forest,3,app_timeouts_delta,1.502234606155501e-05,200,"1003,1008"
cause_family,all,random_forest,3,route_miss_delta,0.0,200,"1003,1008"
cause_family,all,random_forest,3,root_server_rx_delta,0.0008606502662558829,200,"1003,1008"
cause_family,all,random_forest,3,root_server_tx_delta,0.0007038519845054885,200,"1003,1008"
cause_family,all,random_forest,3,transaction_count,0.0005444832622662696,200,"1003,1008"
cause_family,all,random_forest,3,transaction_success_count,0.0005915787051557237,200,"1003,1008"
cause_family,all,random_forest,3,uplink_success_count,0.0005506611252557492,200,"1003,1008"
cause_family,all,random_forest,3,app_delivery_ratio,5.7663644589328755e-06,200,"1003,1008"
cause_family,all,random_forest,3,uplink_delivery_ratio,3.3721747865356157e-06,200,"1003,1008"
cause_family,all,random_forest,3,mean_rtt_ms,0.0018145756757017247,200,"1003,1008"
cause_family,all,random_forest,3,median_rtt_ms,0.0009734219578451053,200,"1003,1008"
cause_family,all,random_forest,3,p95_rtt_ms,0.000738121800778759,200,"1003,1008"
cause_family,all,random_forest,3,max_rtt_ms,0.0007992140081865081,200,"1003,1008"
cause_family,all,random_forest,3,std_rtt_ms,0.0006468022627341749,200,"1003,1008"
cause_family,all,random_forest,3,mean_etx_x100,0.05937999918454814,200,"1003,1008"
cause_family,all,random_forest,3,std_etx_x100,0.015025368305152635,200,"1003,1008"
cause_family,all,random_forest,3,p95_etx_x100,0.027154285322992577,200,"1003,1008"
cause_family,all,random_forest,3,mean_rank,0.09493305396199248,200,"1003,1008"
cause_family,all,random_forest,3,mean_neighbors,0.0,200,"1003,1008"
cause_family,all,random_forest,3,mean_rssi,0.013074216708349724,200,"1003,1008"
cause_family,all,random_forest,3,parent_changes_delta,1.0269213624598601e-05,200,"1003,1008"
cause_family,all,random_forest,3,root_mean_etx_x100,0.03674795258518065,200,"1003,1008"
cause_family,all,random_forest,3,root_mean_rssi,0.0,200,"1003,1008"
cause_family,all,random_forest,3,queue_drops_delta,1.8921524901578994e-19,200,"1003,1008"
cause_family,all,random_forest,3,client_mac_tx_attempts_delta,0.00971118777015781,200,"1003,1008"
cause_family,all,random_forest,3,client_mac_acked_delta,0.008916784490560119,200,"1003,1008"
cause_family,all,random_forest,3,client_mac_rx_delta,0.05342673178915121,200,"1003,1008"
cause_family,all,random_forest,3,client_mac_ack_ratio,0.021213734677037202,200,"1003,1008"
cause_family,all,random_forest,3,client_mac_valid_nodes,2.3758616613995017e-05,200,"1003,1008"
cause_family,all,random_forest,3,client_mac_reset_nodes,1.0271106014180777e-05,200,"1003,1008"
cause_family,all,random_forest,3,root_mac_tx_attempts_delta,0.004949938183808213,200,"1003,1008"
cause_family,all,random_forest,3,root_mac_acked_delta,0.0005994228530467551,200,"1003,1008"
cause_family,all,random_forest,3,root_mac_rx_delta,0.01832983316186822,200,"1003,1008"
cause_family,all,random_forest,3,root_mac_ack_ratio,0.006147037537925716,200,"1003,1008"
cause_family,all,random_forest,3,client_energest_tx_delta,0.045109577066609785,200,"1003,1008"
cause_family,all,random_forest,3,client_energest_listen_delta,0.047005602934580275,200,"1003,1008"
cause_family,all,random_forest,3,client_energest_total_delta,0.0001224669307113328,200,"1003,1008"
cause_family,all,random_forest,3,client_radio_tx_fraction,0.04838598178518472,200,"1003,1008"
cause_family,all,random_forest,3,root_energest_tx_delta,0.0076461019639864425,200,"1003,1008"
cause_family,all,random_forest,3,root_radio_tx_fraction,0.0056522308697705735,200,"1003,1008"
cause_family,all,random_forest,4,reachable_fraction,0.0,200,"1004,1009"
cause_family,all,random_forest,4,app_tx_delta,0.0007517193984511059,200,"1004,1009"
cause_family,all,random_forest,4,app_rx_delta,0.0011045535728185527,200,"1004,1009"
cause_family,all,random_forest,4,app_timeouts_delta,8.392282609913263e-06,200,"1004,1009"
cause_family,all,random_forest,4,route_miss_delta,0.0,200,"1004,1009"
cause_family,all,random_forest,4,root_server_rx_delta,0.0003473955603538586,200,"1004,1009"
cause_family,all,random_forest,4,root_server_tx_delta,0.00029909687690312254,200,"1004,1009"
cause_family,all,random_forest,4,transaction_count,0.00026907447341123193,200,"1004,1009"
cause_family,all,random_forest,4,transaction_success_count,0.00034852696780469125,200,"1004,1009"
cause_family,all,random_forest,4,uplink_success_count,0.00029638068115126815,200,"1004,1009"
cause_family,all,random_forest,4,app_delivery_ratio,2.506331668582059e-19,200,"1004,1009"
cause_family,all,random_forest,4,uplink_delivery_ratio,1.6928376967350819e-19,200,"1004,1009"
cause_family,all,random_forest,4,mean_rtt_ms,0.00204396165360767,200,"1004,1009"
cause_family,all,random_forest,4,median_rtt_ms,0.0015103974121905917,200,"1004,1009"
cause_family,all,random_forest,4,p95_rtt_ms,0.001350829690620537,200,"1004,1009"
cause_family,all,random_forest,4,max_rtt_ms,0.000884274915655503,200,"1004,1009"
cause_family,all,random_forest,4,std_rtt_ms,0.0005019149046974552,200,"1004,1009"
cause_family,all,random_forest,4,mean_etx_x100,0.05706356017339737,200,"1004,1009"
cause_family,all,random_forest,4,std_etx_x100,0.017351085526245553,200,"1004,1009"
cause_family,all,random_forest,4,p95_etx_x100,0.026890344122511466,200,"1004,1009"
cause_family,all,random_forest,4,mean_rank,0.09400374305415848,200,"1004,1009"
cause_family,all,random_forest,4,mean_neighbors,0.0,200,"1004,1009"
cause_family,all,random_forest,4,mean_rssi,0.0027656556892872502,200,"1004,1009"
cause_family,all,random_forest,4,parent_changes_delta,5.1265157269383454e-05,200,"1004,1009"
cause_family,all,random_forest,4,root_mean_etx_x100,0.04274053814308973,200,"1004,1009"
cause_family,all,random_forest,4,root_mean_rssi,0.0,200,"1004,1009"
cause_family,all,random_forest,4,queue_drops_delta,1.8889992732945488e-06,200,"1004,1009"
cause_family,all,random_forest,4,client_mac_tx_attempts_delta,0.010253582870607637,200,"1004,1009"
cause_family,all,random_forest,4,client_mac_acked_delta,0.00799199390649308,200,"1004,1009"
cause_family,all,random_forest,4,client_mac_rx_delta,0.05471097901631252,200,"1004,1009"
cause_family,all,random_forest,4,client_mac_ack_ratio,0.014982382102792846,200,"1004,1009"
cause_family,all,random_forest,4,client_mac_valid_nodes,3.0829346049895e-05,200,"1004,1009"
cause_family,all,random_forest,4,client_mac_reset_nodes,1.3070108594968191e-05,200,"1004,1009"
cause_family,all,random_forest,4,root_mac_tx_attempts_delta,0.005633033766058163,200,"1004,1009"
cause_family,all,random_forest,4,root_mac_acked_delta,0.0003995648190967074,200,"1004,1009"
cause_family,all,random_forest,4,root_mac_rx_delta,0.020825207397290595,200,"1004,1009"
cause_family,all,random_forest,4,root_mac_ack_ratio,0.006498544746082537,200,"1004,1009"
cause_family,all,random_forest,4,client_energest_tx_delta,0.04808285576921898,200,"1004,1009"
cause_family,all,random_forest,4,client_energest_listen_delta,0.053569127807153644,200,"1004,1009"
cause_family,all,random_forest,4,client_energest_total_delta,0.00029288998668834275,200,"1004,1009"
cause_family,all,random_forest,4,client_radio_tx_fraction,0.04342489245886932,200,"1004,1009"
cause_family,all,random_forest,4,root_energest_tx_delta,0.007836339169897844,200,"1004,1009"
cause_family,all,random_forest,4,root_radio_tx_fraction,0.005353551216146106,200,"1004,1009"
cause_family,all,random_forest,5,reachable_fraction,0.0,200,"1005,1010"
cause_family,all,random_forest,5,app_tx_delta,0.0005143311133330353,200,"1005,1010"
cause_family,all,random_forest,5,app_rx_delta,0.0008820106617912032,200,"1005,1010"
cause_family,all,random_forest,5,app_timeouts_delta,2.141325047553213e-05,200,"1005,1010"
cause_family,all,random_forest,5,route_miss_delta,0.0,200,"1005,1010"
cause_family,all,random_forest,5,root_server_rx_delta,0.00046638773883951617,200,"1005,1010"
cause_family,all,random_forest,5,root_server_tx_delta,0.000647035913843958,200,"1005,1010"
cause_family,all,random_forest,5,transaction_count,0.0003007441884877113,200,"1005,1010"
cause_family,all,random_forest,5,transaction_success_count,0.0002631476974193667,200,"1005,1010"
cause_family,all,random_forest,5,uplink_success_count,0.00025605655126248944,200,"1005,1010"
cause_family,all,random_forest,5,app_delivery_ratio,1.928600415160319e-05,200,"1005,1010"
cause_family,all,random_forest,5,uplink_delivery_ratio,1.3313699157982562e-19,200,"1005,1010"
cause_family,all,random_forest,5,mean_rtt_ms,0.002345790615295898,200,"1005,1010"
cause_family,all,random_forest,5,median_rtt_ms,0.001192865924581312,200,"1005,1010"
cause_family,all,random_forest,5,p95_rtt_ms,0.0011959596615386879,200,"1005,1010"
cause_family,all,random_forest,5,max_rtt_ms,0.0012439559578329273,200,"1005,1010"
cause_family,all,random_forest,5,std_rtt_ms,0.0009672390184062276,200,"1005,1010"
cause_family,all,random_forest,5,mean_etx_x100,0.05845595030976399,200,"1005,1010"
cause_family,all,random_forest,5,std_etx_x100,0.018827566440231425,200,"1005,1010"
cause_family,all,random_forest,5,p95_etx_x100,0.027962224465280235,200,"1005,1010"
cause_family,all,random_forest,5,mean_rank,0.09219072923779541,200,"1005,1010"
cause_family,all,random_forest,5,mean_neighbors,0.0,200,"1005,1010"
cause_family,all,random_forest,5,mean_rssi,0.0013645008661857187,200,"1005,1010"
cause_family,all,random_forest,5,parent_changes_delta,4.423382075557917e-06,200,"1005,1010"
cause_family,all,random_forest,5,root_mean_etx_x100,0.036183088617575805,200,"1005,1010"
cause_family,all,random_forest,5,root_mean_rssi,0.0,200,"1005,1010"
