task,feature_set,model,output_class,feature,mean_abs_shap,sd_abs_shap,folds,explained_samples
cause_family,all,random_forest,impairment,client_mac_acked_delta,0.0058814027824027875,0.0009376651263886476,5,1000
cause_family,all,random_forest,impairment,client_radio_tx_fraction,0.0058275460879294375,0.0007247322492494996,5,1000
cause_family,all,random_forest,impairment,root_radio_tx_fraction,0.0031751212649493072,0.000527904079998695,5,1000
cause_family,all,random_forest,impairment,mean_rtt_ms,0.0029167396782734376,0.0003395916758347819,5,1000
cause_family,all,random_forest,impairment,root_energest_tx_delta,0.0029059340489874237,0.0003886004517680775,5,1000
cause_family,all,random_forest,impairment,median_rtt_ms,0.0012806119368966669,0.00029621525887822177,5,1000
cause_family,all,random_forest,impairment,p95_rtt_ms,0.0011411226931234738,0.00043867831364196414,5,1000
cause_family,all,random_forest,impairment,max_rtt_ms,0.0011185457744699722,0.00025785740314692715,5,1000
cause_family,all,random_forest,impairment,std_rtt_ms,0.0007155679517520206,0.0003755348619394107,5,1000
cause_family,all,random_forest,impairment,app_rx_delta,0.0003024963444589493,0.00010283819082843516,5,1000
cause_family,all,random_forest,impairment,root_mac_acked_delta,0.0002360741742229997,0.00010281991603852499,5,1000
cause_family,all,random_forest,impairment,root_server_rx_delta,0.00021213216726991783,8.417807890212894e-05,5,1000
cause_family,all,random_forest,impairment,root_server_tx_delta,0.00020103040377838282,7.868433426923987e-05,5,1000
cause_family,all,random_forest,impairment,app_tx_delta,0.0001917659727333633,5.4420865570518205e-05,5,1000
cause_family,all,random_forest,impairment,transaction_success_count,0.00014812969269501053,4.3685464156081875e-05,5,1000
cause_family,all,random_forest,impairment,transaction_count,0.0001361642182691727,3.1020420782672036e-05,5,1000
cause_family,all,random_forest,impairment,uplink_success_count,0.00013389592761353287,4.4617902336104405e-05,5,1000
cause_family,all,random_forest,impairment,client_energest_total_delta,7.324500367674213e-05,4.8368610999916963e-05,5,1000
cause_family,all,random_forest,impairment,client_mac_valid_nodes,5.072401950076496e-05,1.1445269404992184e-05,5,1000
cause_family,all,random_forest,impairment,parent_changes_delta,3.09032891352825e-05,2.72443444417806e-05,5,1000
cause_family,all,random_forest,impairment,client_mac_reset_nodes,1.4710002309689454e-05,3.991418611779355e-06,5,1000
