task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
binary_attack,radio,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.9327731092436975,0.9301470588235294,0.9311989593119896,0.9326856564697137,0.9323913043478261,0.9301470588235294,0.8625354435061482,0.9844020328719725,0.9738508691117345,
binary_attack,radio,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.9474789915966386,0.9473039215686274,0.9464810142522408,0.947525052089457,0.9457374782249519,0.9473039215686274,0.8930400259789741,0.9919622260668974,0.9888722456716084,
binary_attack,radio,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.9495798319327731,0.9473039215686274,0.9483992194839922,0.9495142423522853,0.9496376811594203,0.9473039215686274,0.8969385666089575,0.9879703719723183,0.9834889374674056,
binary_attack,radio,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.9516806722689075,0.9522058823529411,0.9508191566302946,0.9517490465259404,0.9496532444492232,0.9522058823529411,0.9018555142793633,0.9878171856978086,0.9787517654452291,
binary_attack,radio,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.9243697478991597,0.9252450980392157,0.9231486796785304,0.9245325569952436,0.9215980560320183,0.9252450980392157,0.8468353008005237,0.9733726211072664,0.9572096098712064,
binary_attack,radio,extra_trees,pooled,,1001-1010,,2380,0.9411764705882353,0.9404411764705882,0.940009103060472,0.9412045999262536,0.9395994980774987,0.9404411764705882,0.8800402720538045,0.984697592272203,0.9755791005247353,
binary_attack,all,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
