task,feature_set,model,true_class,predicted_class,count
attack_subtype,routing,extra_trees,dio_flood,udp_flood,90
attack_subtype,routing,extra_trees,dis_flood,dio_flood,115
attack_subtype,routing,extra_trees,dis_flood,dis_flood,146
attack_subtype,routing,extra_trees,dis_flood,udp_flood,79
attack_subtype,routing,extra_trees,udp_flood,dio_flood,41
attack_subtype,routing,extra_trees,udp_flood,dis_flood,29
attack_subtype,routing,extra_trees,udp_flood,udp_flood,270
attack_subtype,mac,extra_trees,dio_flood,dio_flood,338
attack_subtype,mac,extra_trees,dio_flood,dis_flood,2
attack_subtype,mac,extra_trees,dio_flood,udp_flood,0
attack_subtype,mac,extra_trees,dis_flood,dio_flood,3
attack_subtype,mac,extra_trees,dis_flood,dis_flood,337
attack_subtype,mac,extra_trees,dis_flood,udp_flood,0
attack_subtype,mac,extra_trees,udp_flood,dio_flood,0
attack_subtype,mac,extra_trees,udp_flood,dis_flood,0
attack_subtype,mac,extra_trees,udp_flood,udp_flood,340
attack_subtype,radio,extra_trees,dio_flood,dio_flood,203
attack_subtype,radio,extra_trees,dio_flood,dis_flood,137
attack_subtype,radio,extra_trees,dio_flood,udp_flood,0
attack_subtype,radio,extra_trees,dis_flood,dio_flood,144
attack_subtype,radio,extra_trees,dis_flood,dis_flood,196
attack_subtype,radio,extra_trees,dis_flood,udp_flood,0
attack_subtype,radio,extra_trees,udp_flood,dio_flood,0
attack_subtype,radio,extra_trees,udp_flood,dis_flood,0
attack_subtype,radio,extra_trees,udp_flood,udp_flood,340
attack_subtype,all,extra_trees,dio_flood,dio_flood,335
attack_subtype,all,extra_trees,dio_flood,dis_flood,5
attack_subtype,all,extra_trees,dio_flood,udp_flood,0
attack_subtype,all,extra_trees,dis_flood,dio_flood,1
attack_subtype,all,extra_trees,dis_flood,dis_flood,339
attack_subtype,all,extra_trees,dis_flood,udp_flood,0
attack_subtype,all,extra_trees,udp_flood,dio_flood,0
attack_subtype,all,extra_trees,udp_flood,dis_flood,0
attack_subtype,all,extra_trees,udp_flood,udp_flood,340
