feature,importance,task,feature_set,model,fold
numeric__queue_drops_delta,4.850082153326394e-05,binary_attack,all,extra_trees,1
numeric__uplink_delivery_ratio,4.832629825091692e-05,binary_attack,all,extra_trees,1
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,1
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,1
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,1
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,1
numeric__client_mac_rx_delta,0.1789561721622733,binary_attack,all,extra_trees,2
numeric__client_energest_tx_delta,0.09109797808714565,binary_attack,all,extra_trees,2
numeric__client_radio_tx_fraction,0.08495873192913381,binary_attack,all,extra_trees,2
numeric__client_energest_listen_delta,0.08190121755762045,binary_attack,all,extra_trees,2
numeric__mean_rank,0.07106004965087707,binary_attack,all,extra_trees,2
numeric__root_mac_rx_delta,0.0670149018501367,binary_attack,all,extra_trees,2
numeric__mean_etx_x100,0.06308347844515473,binary_attack,all,extra_trees,2
numeric__client_mac_ack_ratio,0.05216952782427503,binary_attack,all,extra_trees,2
numeric__client_mac_acked_delta,0.04883024327024604,binary_attack,all,extra_trees,2
numeric__p95_etx_x100,0.044370539011112126,binary_attack,all,extra_trees,2
numeric__client_mac_tx_attempts_delta,0.038055311565872815,binary_attack,all,extra_trees,2
numeric__root_mac_ack_ratio,0.035653447034459704,binary_attack,all,extra_trees,2
numeric__root_mean_etx_x100,0.034617332709203696,binary_attack,all,extra_trees,2
numeric__std_etx_x100,0.029710128975803222,binary_attack,all,extra_trees,2
numeric__root_mac_tx_attempts_delta,0.016742997447683268,binary_attack,all,extra_trees,2
numeric__root_energest_tx_delta,0.011584177626208182,binary_attack,all,extra_trees,2
numeric__root_radio_tx_fraction,0.01119034645236455,binary_attack,all,extra_trees,2
numeric__mean_rtt_ms,0.008077849075322833,binary_attack,all,extra_trees,2
numeric__mean_rssi,0.007530812336151319,binary_attack,all,extra_trees,2
numeric__p95_rtt_ms,0.0035269735173446637,binary_attack,all,extra_trees,2
numeric__std_rtt_ms,0.002900356531712223,binary_attack,all,extra_trees,2
numeric__median_rtt_ms,0.0025698573527406,binary_attack,all,extra_trees,2
numeric__max_rtt_ms,0.0023900184181060097,binary_attack,all,extra_trees,2
numeric__app_tx_delta,0.0016447605698763385,binary_attack,all,extra_trees,2
numeric__app_rx_delta,0.0016281490967276152,binary_attack,all,extra_trees,2
numeric__root_server_tx_delta,0.001294003770592712,binary_attack,all,extra_trees,2
numeric__root_mac_acked_delta,0.0012683424984205856,binary_attack,all,extra_trees,2
numeric__root_server_rx_delta,0.0011906671200905947,binary_attack,all,extra_trees,2
numeric__transaction_success_count,0.001179315817652786,binary_attack,all,extra_trees,2
numeric__uplink_success_count,0.0011790402952579437,binary_attack,all,extra_trees,2
numeric__transaction_count,0.0010535319464112904,binary_attack,all,extra_trees,2
numeric__client_energest_total_delta,0.0005798183765496423,binary_attack,all,extra_trees,2
numeric__client_mac_reset_nodes,0.000363735975232298,binary_attack,all,extra_trees,2
numeric__client_mac_valid_nodes,0.00026224557169930463,binary_attack,all,extra_trees,2
numeric__parent_changes_delta,0.0002167015668304589,binary_attack,all,extra_trees,2
numeric__app_timeouts_delta,7.569690279156017e-05,binary_attack,all,extra_trees,2
numeric__app_delivery_ratio,4.5974027105480435e-05,binary_attack,all,extra_trees,2
numeric__queue_drops_delta,1.4587912365270849e-05,binary_attack,all,extra_trees,2
numeric__uplink_delivery_ratio,1.0979721448177259e-05,binary_attack,all,extra_trees,2
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,2
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,2
