run_id,scenario,class_label,impairment_level,tx_success,rx_success,seed,duration_s,warmup_s,analysis_s,source_csc,output_log
RX75_seed1010_600s,RX75,impairment,moderate,1.0,0.75,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1010.log
RX60_seed1001_600s,RX60,impairment,heavy,1.0,0.6,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1001.log
RX60_seed1002_600s,RX60,impairment,heavy,1.0,0.6,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1002.log
RX60_seed1003_600s,RX60,impairment,heavy,1.0,0.6,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1003.log
RX60_seed1004_600s,RX60,impairment,heavy,1.0,0.6,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1004.log
RX60_seed1005_600s,RX60,impairment,heavy,1.0,0.6,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1005.log
RX60_seed1006_600s,RX60,impairment,heavy,1.0,0.6,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1006.log
RX60_seed1007_600s,RX60,impairment,heavy,1.0,0.6,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1007.log
RX60_seed1008_600s,RX60,impairment,heavy,1.0,0.6,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1008.log
RX60_seed1009_600s,RX60,impairment,heavy,1.0,0.6,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1009.log
RX60_seed1010_600s,RX60,impairment,heavy,1.0,0.6,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1010.log
